Product title,SKU,Items sold,N. Revenue,Orders,Category,Variations
KEMPER Exhaust Set - 4 m Flexible Exhaust Arm (Single-Phase) (79 004 201-100),79 004 201-100,8,9692.81,7,Kemper Static Filter Units,0
Steel Wheel Kit - for Large V-Head Quattro Pipe Stand,SWK4,8,238.42,3,"Multi-Stand Pipe Stands, Tri-Stands &amp; Pipe Jacks, Quattro Pipe Stands",0
Phantom Air PAPR Replacement Main P2 Filter (FXPAPRFILT),FXPAPRFILT,8,235.78,6,Welding Helmet Spares,0
PGNM Nozzle Size 3 (CCPGNM03),CCPGNM03,8,117.8,4,Oxy Propane Gouging Nozzles PGNM,0
Earth Clamp 500A (Nevada Type),1079,8,77.04,3,Earth Clamps,0
Cutting Tool Facing 90 Deg Heavy Duty Double Sided (Set of 3),CTF906HD-WWVP,8,697.4,2,Pipe Prep Blades,2
Myking MMA Electrode Holder - Arc Welding - 200A,1027,8,154.22,3,Electrode Holders MMA,0
Electrode Quiver Oven - Dual Voltage,1141,8,473.69,6,Welding Electrode Quivers and Ovens,0
Calibration &amp; Pressure Test Certificate,LAB07024,8,1461.19,4,"Manifold &amp; Regulator Parts/Connectors, Gas Arc High Pressure Gas Hoses",0
Tecna 9320 Tool Balancer (Capacity 1-2.5 Kg) - 2000 mm Stroke,9320,8,568.8,3,Tool Balancers,0
GeKa ER 308LSi Stainless Wire - 1.0mm - 5kg,6011100459,8,182.4,1,Stainless Steel MIG Wire,0
"Cutting Torch - NM 72/75 - 72"" Length, 75 Head",NM72/75,8,805.43,8,Gas Cutting Torches,0
Level &amp; Support Device Stainless Steel,DA-400S,8,620,1,Single Chain Pipe Clamps,0
Cutlass Chuck for PKM-1B,79-301-003,8,250,1,Weld Studs,0
Stealth-XG Air Fed Welding &amp; Grinding Helmet,6044,8,3767.74,3,Welding Helmets,0
SPEC MASTER STAINLESS STEEL CONVALUTED HIGH PRESSURE FLEXIBLE HOSE C/W NON-RETURN VALVE - NOT SUITABLE FOR USE WITH OXYGEN &amp; MIXTURES ABOVE 21% OXYGEN - INLET 0-300 bar BS 341 No.3 - LENGTH 900mm - OPTIONS A (HPF660-04-02-01-00-010-04-A),3960006402,8,2856.16,2,Gas Arc High Pressure Gas Hoses,0
"Steel Expanding Pipe Stoppers - 1.5"" to 42""",STEEL-PIPE-STOP-WWVP,8,129.88,3,Expandable Pipe Stoppers,22
Super 6 E6013 MMA Mild Steel Electrodes 2.5mm x 350mm 5kg,7401,8,80.32,2,Steel &amp; Low Hydrogen Electrodes,0
400A Welding Electrode Holder 405 Red Twist Grip (1020),1020,7,39.41,2,Electrode Holders MMA,0
KEMPER FilterMaster - Main Filter &amp; Pre-filter Pack (21400-1090033),21400-1090033,7,2549.65,7,Kemper Filters,0
EASYKleen Plus MIG Replacement Brushes (Black / Yellow) - EKP107 - Pack of 5,1.05661/MIG,7,630.91,6,"Weld Cleaning Equipment, Easykleen Plus &amp; TIG System",0
Unfitted Twin Oxy-Acetylene Welding Hose - 6 mm x 100 m,1344,7,1288.8,5,Siamese Twin Welding Hoses - 100m Rolls,0
Ardrox 906A Dark Red Contrast Penetrant (Aerosol Type) - Box of 10,ARDROX906A,7,960.06,6,Ardrox NDT Aerosols,0
Ardrox Dye Penetrant Testing Kit,105325A,7,553.66,6,Ardrox NDT Aerosols,0
Nickel Bronze Brazing Rods - C5 Series - 1.6 mm x 5 Kg,7485,7,871.54,6,Oxy-Acetylene Welding Rods - Brazing,0
Devcon Aluminium Putty - 450g (Box of 6),10610,7,547.06,8,Devcon Epoxy Metal Repair Putty,0
Gas Fluxer Liquid - 1 x 3 Litre Container,FXGF3LS,7,183.4,1,Gas Fluxers,0
"Kromer Cap Style A, Size 7 3/4 (62)",KC734,7,75.25,3,Welding Caps &amp; Balaclavas,0
Roller Heads Nylon- for DWT-PSF1000 Stand,DWT-RG350002,7,326.95,4,Tri-Stands &amp; Pipe Jacks,0
F-TECH Absolute Main Filter For Armur/EVO 2.2/ICAP,F18E1249059229,7,1244.82,3,F-Tech Fume Extraction,0
"Lab Master Coil SS Regulator - 178DD021, 178D FX BS008W N14M",Coil SS 178DD021,7,1838.2,2,LGL500 Outlet Point Gas Regulators,0
Super 6 316 LSI Stainless Steel MIG Wire,7201-WWVP,7,968.58,3,Stainless Steel MIG Wire,7
KEMPER Spare Filter for VacuFil 500 (109 0440) DUPLICATE,1090440,7,1984.5,1,Kemper Hi Vacuum Fume Extraction,0
Superon Super Optimal 312-17 Electrodes 2kg,7424S-WWVP,7,307,4,Stainless Steel Welding Electrodes,3
Leak Diverter Tarp &amp; Fittings (Yellow),LD1X1Y-TF-WWVP,7,761.86,2,"Leak Detection Spray, Spill Containment &amp; Response Kits",4
Gas Arc 1/4 NPT M x 3/8 BSP FM LH Adaptor,HFA11006,7,133.56,2,"Fuel Gas Regulators, Gas Arc Spares &amp; Certificates",0
Pair of Replacement Silicon Discs for Dual Seal Purge Systems (Various Sizes),PURGE-SEAL-WWVP,7,511.03,4,Double Seal Purge Systems,17
"Defender 400 Mobile Welding Screen with Castors - 6' 5"" x 6' 3"" - Red/Green",DEFENDER400,7,1078,1,Welding Curtains &amp; Frames - Defender,2
TECH MASTER TWO STAGE TWIN CYLINDER DIAPHRAGM AUTOCHANGE TRIPLE REG SET - FKM SEAL - INLET 0-300 bar NO INLET FITTED - GAUGES FITTED - OUTLET 0-10 bar NO OUTLET FITTED - GAUGE FITTED - GST4011-04-05-01-01-000-00-A,3960020699,7,7546.7,1,Manifold &amp; Regulator Parts/Connectors,0
Gullco High Tensile Steel Cutter - KBM-18X1H,KBM-18-X1H,6,1757,5,Plate Bevellers,0
Type 3/5 Shank,BB5001/T5SH,6,163.84,4,"Type 3/5 HD Torch Components, Oxy-Acetylene Torches",0
KEMPER Replacement Filter for FilterMaster XL (109 0438),109 0438,6,2316.87,5,Kemper Filters,0
KEMPER Cartridge Filter (109 0434),109 0434,6,1087.78,3,Kemper Filters,0
"Belt Sander - 20mm x 520mm - 16,000 rpm",QB-312,6,806.64,1,Air Belt Sanders,0
Eagle Suction Feed Spray Gun - 1.8 mm - P-5009,P-5009,6,385.14,2,Paint Spray Guns &amp; Accessories,0
KEMPER Dusty Funnel Nozzle (232 0010),232 0010,6,870,1,Kemper Hoses &amp; Nozzles,0
Deox &amp; Fit Stainless Steel Cleaner (DEOXFIT),DEOXFIT,6,373.8,3,Stainless Steel Weld Cleaning Equipment,0
Heat Reflective Aluminised Jacket - Large,GEM2B-L,6,2028.03,2,Heat Reflective Clothing,0
Devcon Stainless Steel Putty 500 g,DEV10271,6,525.25,4,Devcon Epoxy Metal Repair Putty,0
Tig Wand Spare Brush for DC Weld Cleaning - Pack of 5,TWRB5,6,532.89,6,TIG Wand Rapid,0
Double Seal Weld Purging Gas Hose - 8 mm x 10 m,GH810,6,181.13,6,Double Seal Purge Systems,0
"Magnetic Centering Head Small From 1"" to 6"" Pipe",53025-M,6,576.96,6,Pipe Centering Heads,0
Welders Tent Cover Light Duty Opaque with Dual Opening.,1804,6,1534.66,4,Welding Tents &amp; Work Shelters,0
Weltek Airkos Pre-Filter Pack of 30 (CR7060/30),CR7060/30,6,266.9,6,Welding Helmet Spares,0
Manual Pipe Cutter Chain (Per Meter),EZPCCH,6,432,1,"Manual Pipe Cutting Machine Spares, Automatic Pipe Cutting Machine Spares",0
"Check Valve - Hose Fitting - 1/4""[6mm] x 1/4"" [6mm] LH",DA5001414LHFT,6,16.5,1,Hose Check Valves - Torch Fitting,0
"Check Valve - Hose Fitting - 1/4""[6mm] x 1/4"" [6mm] RH",DA5001414RHFT,6,16.5,1,Hose Check Valves - Torch Fitting,0
"5/8"" x 1.5"" VC Straight Spot Welding Electrodes - Pack of 5",19286,6,300,4,Spot Welding Electrodes,0
Green PVC Welding Curtain - 6X6,SWP1470,6,158.46,1,Welding Curtains &amp; Frames - Standard,0
Flame Retardant Green Welding Curtain - 6X6,SWP1468,6,158.52,3,Welding Curtains &amp; Frames - Standard,0
Welders Tent Frame only 2mx2mx2m,1456,6,712.88,4,Welding Tents &amp; Work Shelters,0
Cutting Tool Bevel 37.5 Deg 10mm Thick Heavy Duty,UC02601,6,269.97,2,Pipe Prep Blades,0
Lab Master LGL500 Single Stage Diaphragm Line Regulator - 3.5 bar,LGL500-02-03-00-01-000-00,6,1116.42,3,LGL500 Outlet Point Gas Regulators,0
KEMPER Swivel Joint For Mobile Unit,79 003 02,6,890.72,6,Kemper Exhaust Arms &amp; Hoods,0
Freight,,6,359.95,6,Welding Equipment,0
KEMPER Replacement Filter - SmartFil (25 m²) (109 0675),109 0675,6,2190.98,4,Kemper Filters,0
Honeywell Clearways Browguard - CB14 - with Elastic Headband - Pack of 10,1002346,6,375.52,2,Safety Visors,0
Gold Premium Welders MIG Gauntlet EAD012,EAD012,6,33.28,2,Welding Gloves &amp; Gauntlets,0
"KEMPER Wall Mounted Fume Exhaust Set - 2 m Flexible Arm, Single Phase 230 V",790022031,6,6597.58,6,Kemper Static Filter Units,0
KATBAK Ceramic Welding Backing Tiles - 1G9 Series - RD Model - 12 m Box,1G9-RD,6,207,3,Katbak Ceramic Backing Strips,0
Wheel Kit (5 Casters) For Five Leg Pipe Stand,3504,6,1110.75,3,Five Leg Pipe Stands,0
Sif 101 Brazing Flux in 500g Jar,FO100050,6,148.86,6,Welding Fluxes,0
DIN 477 No6 Cylinder Connection,RSP00305,6,81.99,2,Cylinder Connectors,0
"2% Thoriated Tungsten 1/16"" x 6"" (1.6mm x 150mm) Red Tip - Pack of 10",TE2-1/16 - 1106,6,39,1,Thoriated Tungsten Electrodes,0
"2% Thoriated Tungsten 3/32"" x 6"" (2.4mm x 150mm) Red Tip -  Pack of 10",TE2-3/32 - 1107,6,83.4,2,Thoriated Tungsten Electrodes,0
Starparts G-Tech Flashback Arrestor In-Line Oxygen,FBAOXIL,6,85.56,1,Flashback Arrestors,0
GeKa Electrodes - 7018-1 LASERB 50 - (3.2mm) 3kg,3010102351,6,32.7,1,Steel &amp; Low Hydrogen Electrodes,0
Green Canvas Welding Curtain - 6' x 6' with Eyelets,CC6X6,6,145.92,1,Welding Curtains &amp; Frames - Standard,0
Balancer 22-25Kg 2000mm Stroke,9359,6,1767.12,4,Tool Balancers,0
Airline Gauge High Pressure Hose - Single Clip On - 6',AFG6H04,6,979.14,2,Air Compressor Hoses &amp; Accessories,0
GeKa ER 5556 (AlMg5Mn) TIG Wire (1.6mm) 2.5kg,6011100479,6,150,1,TIG Filler Rods for Aluminium,0
GeKa - ER 5556 (AlMg5Mn) TIG Wire (2.4mm) 2.5kg,6011100480,6,150,1,TIG Filler Rods for Aluminium,0
Pipe Flange Aligner - Up to 180mm Hole Distance,38240-T,6,973.06,5,Flange Pins,0
Devcon Flexane 80 500g,DEV15800,6,493.97,6,Devcon Flexane,0
Devcon Clear Epoxy - 2 Ton - 50ml,14260,6,118.06,4,Devcon Epoxy Adhesives,0
Exact Cut+Bevel Diamond Disc 165mm – Cast Iron & Plastic Cutting and Beveling (7048129),7048129,6,1869.22,3,165mm Saw Blades &amp; Diamond Cutting Discs,0
Anti Sparks Metallic Filter (Armur/EVO 2.2) F13ZMA59249012,F13ZMA59249012,6,148.1,2,F-Tech Fume Extraction,0
1 x Pre Filter (F-Tech Armur/EVO 2.2D),F1200592490048,6,148.1,2,Welding Equipment,0
RH Cylinder Adaptor 90°,RHCA90,6,79.2,1,"Cylinder Fittings, Cylinder Adaptors",0
"Cylinder Connection CGA 580 x 1/4"" NPT Brass (c/w Stem & Nut)",RSP00361,6,163.98,2,Cylinder Connectors,0
"Black Bridge Pipe Clamp - Various Sizes - 1"" to 12""",BBC6-WWVP,6,718.7,4,Black Bridge Clamps,3
Kemper Potentiometer,1180335,6,240,1,Kemper Misc Parts &amp; Accessories,0
Magswitch MagMount 235 (8100451),8100451,6,568.58,2,Work Holding Devices - Fixed Angle,0
"Spacer for 1"" pipe, made out of plastic. Colour : Grey 1 set = 10 pieces",70190129,6,213.55,2,Welding Equipment,0
"Pendular strip suspension clip for 1"" pipe, including retaining rivits. Colour : Grey 1 set = 5 pieces",70190127,6,449.6,2,Welding Equipment,0
GPT401 TECH MASTER 5 PORT TWO STAGE CYLINDER REGULATOR FKM SEAL,3960001049,6,1171.3,3,Inert Gas Regulators,0
BH Tungsten Purge Analyser Monitor Case Only,614,6,135,1,Weld Purge Monitors,0
"Beam clamp roller 4 - 24"" (2x rollers)",2110,6,2550,1,Mega-Pipe Stands,0
Welding Strip Curtains - 50m Bulk Rolls (Red/Green/Bronze),300x2WELDING,6,964.26,4,Welding Strip Curtains,3
Sifbronze No 1 Silicon Bronze Gas Brazing Rods - 3.2 mm x 5 Kg,RO013250,5,576.77,3,Oxy-Acetylene Welding Rods - Brazing,0
Sif Magnesium No 23 TIG Rods - 3 mm x 12 Rods,RO233212,5,404.53,5,TIG Filler Rods for Magnesium,0
Alum Nozz 5/16 (53N59) - Pack of 10,RW53N59*,5,29,1,TIG Torch Consumables,0
Argon Hose Unfitted (Black) - 6 mm x 50 m,BW600BA/BAH14,5,296,4,"MIG Gas Welding Hoses, Argon/Shielding Gas Hose",0
KATBAK Ceramic Welding Backing Tiles - 1G43 Series - 12 m Box,1G43-R,5,172.5,1,Katbak Ceramic Backing Strips,0
SIF Aluminium Flux No 14 - 500 g Jar,FO140050,5,129.14,5,Welding Fluxes,0
DGN Barrel Fuel Gas Flashback Arrestor (FBA) Inline (AU111007),AU111007,5,59,3,Flashback Arrestors,0
Phantom Extreme Auto Darkening Welding Helmet,FXADF950S,5,592.71,5,Welding Helmets,0
Antox Neutralising Paste - NP - 2 Kg,1314619/1,5,247.88,4,Pickling &amp; Neutralising Agents,0
"High Pressure Flexible Hose - 1800mm x 1/4"" NPT Female x 1/4""NPT Female",GCS06079,5,1204.98,4,Gases other than Oxy/Oxy Mixture,0
Magswitch Mini Angle (8100352),8100352,5,159.5,1,Work Holding Devices - Fixed Angle,0
Magswitch MagSquare 165 (8100494),8100494,5,1435.49,4,Work Holding Devices - Fixed Angle,0
Welders Pocket Fillet Gauge (Red) (ET0029R),ET0029R,5,59.45,1,Welding Gauges,0
KEMPER ProfiMaster - Weld Fume Extractor Main & Pre‑Filter Set (1090457-1090033),1090457-1090033,5,1702.85,5,Kemper Filters,0
Argon / CO2 Gas Heater - 230 Bar,GCP01138,5,4521.08,2,Argon &amp; Co2 Gas Heaters,0
Welding Overalls (Flame Retardant / Large),PV500103,5,152.56,4,Welding Overalls,0
"Pipe Stand Heavy Duty VEE Head 0"" - 24""",TVH300L/90029-LVH,5,288.75,1,Tri-Stands &amp; Pipe Jacks,0
Steel Wheel Rotation Head - Pair (Not Base) DUPLICATION,SWH200/90065,5,221.45,2,Welding Equipment,0
Heat Reflective Aluminised Jacket - Medium,GEM2B-M,5,1655.32,3,Heat Reflective Clothing,0
Heavy Duty Welding Work Bench With 2mm Galvanised Steel Top Including Cupboard and Bottom Shelf - 1800mm x 750mm x 840mm,1875SC,5,2495,1,Steel Top Welding Benches,0
SifDry Electrode Quiver - 110v or 230v,ZAB300110-WWVP,5,405.91,4,Welding Electrode Quivers and Ovens,2
Nozzle Cleaner,DZ0003/1216,5,29.75,1,Welding Tools,0
Lightweight Welding Nozzle No.7,CCLW07,5,11.1,1,Lightweight Welding Nozzles,0
TAG EZ Pipe Saw - 110v,EZPS110,5,12020,3,TAG ‘E-Z’ Pipe Saws,0
TIG Wand Rapid Mainclean Neutraliser - 5 Litre Container,Mainclean 5,5,277.92,5,TIG Wand Rapid,0
TIG Wand Rapid Kit - Tig Torch Adapter - for DC Weld Cleaning,TWRA,5,442.76,4,TIG Wand Rapid,0
Replacement Sensor for Handy Purge Monitors Series 100 &amp; Series 100SC,HP100SCS,5,935,5,Weld Purge Monitors,0
3M Speedglas Adflo Li-ion Heavy Duty Battery Heavy Duty (837631),837631,5,1110.62,2,Welding Helmet Spares,0
"Exact TCT 165mm Saw Blade – Multi-Purpose Cutting for Steel, Copper, Aluminum & Plastic (7010487)",7010487,5,305.32,3,165mm Saw Blades &amp; Diamond Cutting Discs,0
Gas Arc Tech-Master GA-D97 Hydrogen Flashback Arrestor - 10 Bar (Regulator Fitting) Stainless Steel,FBA07052,5,1544.64,2,Flashback Arrestors,0
Oxy-Propane Gas Economiser (AE20001),AE20001,5,300,4,Gas Economisers / Flowmeters,0
Heavy Duty Welding &amp; Cutting Set - Type 5,T5WCS5,5,1042.5,5,Cutting &amp; Welding Sets,0
Flap Disc 125 x 22 mm x 40 Grit - Pack of 10,1617,5,88.5,3,Flap Discs,0
Tech Master Isolation Valve c/w Indicator Window - VAA09040 - FKM Seal Material,VAA09040,5,437.61,3,Tech Master Isolation Valves,0
Pipe Stand Folding Leg with Chain Vice &amp; Tool Tray,PJ3CV,5,1238.69,5,Pipe Stands,0
KEMPER WallMaster Welding Fume Extraction (65 750),65 750,5,4974.19,4,Kemper Static Filter Units,0
"Tech Master GPS420 Inert Gas Regulator 250 Bar 1/4"" NPT Female Outlet",3960023669,5,2411.33,4,"Inert Gas Regulators, High Pressure Gas Regulators",0
Tecna Cranked Electrode Pair up to 25 kVA,3433/3623,5,232,4,Tecna Pedestal Spot Welding Electrodes,0
Tech Master GPS420 5 Port Single Stage Hydrogen Regulator 0 - 100 Bar,3960048143,5,1504.55,3,"Fuel Gas Regulators, High Pressure Gas Regulators",0
Tecna 9336 Tool Balancer (2-4 Kg) - 2500 mm Stroke,9336,5,498.8,2,Tool Balancers,0
"Pipe Welding Clamp For Stainless Steel (6-14"")",DWT-SS614,5,894.11,4,Pipe Welding Clamps,0
Nevoc Cylinder Connection in Stainless Steel BS341 No.30 x 1/4″ NPT c/w Stem &amp; Nut,GCP37286,5,404.34,3,Regulator Stems &amp; Fittings,0
1 Tonne Pipe Rotators - 50 mm - 500 mm,MGCR1,5,7515.64,5,Pipe Rotators,0
SEALING WASHER - PTFE [Packs of 10],REPRAN 41,5,518.53,4,Manifold &amp; Regulator Parts/Connectors,0
316L Stainless Steel TIG Filler Rods - 1.6 mm x 5 Kg,6011100351,5,266.89,5,TIG Filler Rods for Stainless Steel,0
Xcalibur Anti-Spatter Container (5 Litre),8906,5,39.45,1,Anti-Spatter Spray,0
Twist Type Electrode Holder Economy (600 Amp),M600E,5,39.8,1,Electrode Holders MMA,0
Victory Style 2 Screw Twist Type Electrode Holder - 600 Amp,V600-2,5,41.3,1,Electrode Holders MMA,0
"Kromer Cap Style A, Size 7 1/4 (58)",KC714/1963,5,52.25,1,Welding Caps &amp; Balaclavas,0
Tech Master HF35 Hi-Flow Oxygen Regulator with BS 341 Fitting,RAN34002-BS341,5,4058.25,3,"Oxygen Regulators, Gas Arc Hi Flow Gas Regulators",0
"Cutting Torch - NM 48/75 - 48"" Length, 75 Head",NM48/75,5,371.36,3,Gas Cutting Torches,0
Weltek S4 Auto Darkening Filter (ADF),FI00S4,5,360.34,4,Welding Helmet Spares,0
F-Tech Hose PVC Super Elastic (Per Metre),FTPVCH,5,118.2,1,F-Tech Fume Extraction,0
Evolution 210 mm Saw Blade for Stainless Steel,S210TCT-54CS,5,292.85,2,Circular Saw Blades,0
Steel Roller Wheel - Feed Through - Kit,FTK6S,5,288.75,1,Pipe Roller Stands,0
SIFMIG E71T1-1M Flux Cored MIG Welding Wire 15kg 1.2mm,WO711215,5,206.08,4,Flux Cored MIG Wire - Steel,0
Sifmig 316LSI Stainless Steel MIG Wire,WO210612-WWVP,5,705.5,2,Stainless Steel MIG Wire,7
Sifchrome 308L Stainless Steel Electrode MMA (Stick) 4kg,RC3082540-WWVP,5,233.18,4,Stainless Steel Welding Electrodes,3
Tech Master Elastomer Polymer Lined High Pressure Flexible Hose with Non-Return Valve - Not Suitable for Oxygen and Mixtures above 21% Oxygen - 300 bar BS 341 No.4 - 1800mm Length - Options P - GPF400-04-03-01-00-012-04-P Flexi Hose,3960069827,5,2385,2,LGL500 Outlet Point Gas Regulators,0
Cylinder Connection BS341 No.8  x 1/4NPT Brass c/w Stem Nut &amp; Washer,RSP00256,5,136.65,2,Cylinder Connectors,0
Propane Heating Cutting Nozzle and Insert,PHNM-PHNM/INS,5,49.05,1,Gas Cutting &amp; Gouging Nozzles,0
Tech Master GPS421 Single Stage 2 Gauge Cylinder Regulator (Inert NEVOC),GPS421-04-07-01-01-021-07-A-WWVP,5,1856.02,4,"Inert Gas Regulators, NEVOC Regulators",5
Superon Supercast NiFe Electrodes 2kg,7434S-WWVP,5,359.15,3,Cast Iron Welding Electrodes,3
Tech Master GA2500/GPS420 High Pressure Inert Gas Regulator GPS421-04-12-01-01-009-04-A,3960000165,5,2010,2,"Inert Gas Regulators, Oxygen Regulators",0
Exhaust Diffuser M10 10mm,EDM10,5,22,1,,0
Activated Carbon Filter ICAP,RICICAP00000CC,5,568.75,1,F-Tech Fume Extraction,0
Jackbar Stainless Steel for Single Chain Clamp,20JB/SS,5,325,2,Single Chain Pipe Clamps,0
TECH MASTER 5 PORT SINGLE STAGE PISTON CYLINDER REGULATOR FKM SEAL - INLET 0-300 bar BS341 No.3 (Side Entry) - OUTLET 0-250 bar 1/4 NPT FEMALE,GPS421-04-13-01-01-010-00-A,5,2493.5,1,"Inert Gas Regulators, Oxygen Regulators",0
WATER SOLUBLE GLUE 200ML,WSG,5,75,1,Water Soluble Welding Products,0
Super 6 CP3 Gas Welding &amp; Brazing 1kg Tube,7533-WWVP,5,193.7,1,Copper Phosphorus Brazing Rods,3
Straight Line Cutting Machine - Oxy-Acetylene,BCG31-WWVP,4,1860.36,5,"Straight Line Cutting Machines, Straight Line Cutting Machines",2
200A Earth Clamp (Nevada Type) (EW200NEV),EW200NEV,4,10.48,1,Earth Clamps,0
Stainless Steel V-Head Cover,SSC3,4,65.44,1,"Single Tube Pipe Stands, Tri-Stands &amp; Pipe Jacks",0
Sifbronze No 1 Silicon Bronze Gas Brazing Rods - 1.6 mm x 1 Kg,RO011601,4,147.15,3,Oxy-Acetylene Welding Rods - Brazing,0
Sifbronze No 1 Silicon Bronze Gas Brazing Rods - 2.4 mm x 2.5 Kg,RO012425,4,227.61,4,Oxy-Acetylene Welding Rods - Brazing,0
GA600 High Pressure CO2 Manifold Regulator RAN07120,RAN07120,4,2115.04,2,"CO2 Regulators, Gas Arc Cylinder Mounted Gas Regulators",0
Tech Master GA1500 High Pressure Oxygen Regulator RAN05001/3960000127,RAN05001/3960000127,4,1142.18,3,"Oxygen Regulators, Gas Arc Cylinder Mounted Gas Regulators",0
"Fitted Oxy-Acetylene Twin Hose Set (3/8"" Fittings) - 10 mm x 10 m",BZ101038SETFTSY,4,180.97,3,Twin Welding Hoses - Fitted Set,0
Oxy-Propane Twin Hose Set - 10 mm x 10 m,BZ101038SETPFTSY,4,232.12,3,Twin Welding Hoses - Fitted Set,0
"Kromer Welding Cap - Size 7 5/8""",ESF287006/1966,4,42.7,2,Welding Caps &amp; Balaclavas,0
Copper Welding Cable Double Insulated HOFR 35 mm x 100 m,EZD35DI,4,1740,2,Welding Cable (Double Insulated),0
DIN Type Plug 16 - 25 mm - Pack of 10,EW1625PW/10,4,40.32,1,Welding Cable - Plugs &amp; Sockets,0
DIN Type Socket 16 - 25 mm - Pack of 10,EW1625SW/10,4,40.32,1,Welding Cable - Plugs &amp; Sockets,0
"Propane Superheating Neck 11"" (BFSN11)",BFSN11,4,101.52,3,Oxy-Propane Torches,0
Type 3/5 Propane Super Heating Mixer,BB5004/T5PHM/2014,4,61.98,3,Oxy-Propane Torches,0
"High Pressure Flexible Hose - 900mm x 3/8"" - Female RH x CO2",GCS06133,4,805.36,1,Gases other than Oxy/Oxy Mixture,0
Magswitch Mini Multi-Angle (8100350),8100350,4,161.32,1,Work Holding Devices - Fixed Angle,0
Evolution 180 mm Saw Blade for Steel,M180TCT-36CS,4,113.49,2,Circular Saw Blades,0
"Angle Grinder - 5 Inch - 11,000 RPM",SP-A2112-5,4,451.92,1,Air Angle Grinders,0
Taper Bore Welding Gauge (1 - 15 mm),ET003315,4,51.24,1,Welding Gauges,0
Slip On Steel Wheel Head,90060,4,157.56,2,Tri-Stands &amp; Pipe Jacks,0
Heat Reflective Aluminised Jacket - XL,GEM2B-XL,4,1436.35,2,Heat Reflective Clothing,0
Devcon Epoxy Gel - 1 Minute - 50ml - Box of 12,14277,4,1219.52,2,Devcon Epoxy Adhesives,0
1.5% Lanthanated 1.6 mm Tungsten Electrodes (Gold Tip) - Pack of 10,TEG-1/16 - HP16616,4,33.94,2,Lanthanated Tungsten Electrodes,0
Pipe Centering Head - Large,TCHL/D206,4,172.5,4,Pipe Centering Heads,0
Type 3/5 Cutting Attachment (BB5002),BB5002,4,131.24,1,Type 3/5 HD Torch Components,0
TIG Wand Rapid Kit,TWRK,4,721,4,TIG Wand Rapid,0
"EZ Zone Purge Gas Retaining Tape Standard 2.5"" x 1"" x 75 ft",EZ-ZT 2.5,4,283.38,4,Purge Gas Retaining Tape,0
Pipe Cutting Machine (Chain Driven Manual),EZPCM,4,3597.5,2,Pipe Cutting Machines,0
"Chain Lock for 4"" - 12"" Pipe",02838/EZS12PC,4,1692,2,TAG ‘E-Z’ Pipe Saws,0
Sifsteel No 11 Steel Gas Welding Rods Copper Coated - 1.6 mm x 1 Kg,RO111601,4,41.72,2,Oxy-Acetylene Welding Rods - Steel,0
"Exact TCT 140mm Saw Blade – Cuts Steel, Copper & Plastic (7010486)",7010486,4,221.86,3,140mm Saw Blades &amp; Diamond Cutting Discs,0
Manual Pipe Cutter Guide Band Lock,EZPCGBL,4,128,1,"Manual Pipe Cutting Machine Spares, Automatic Pipe Cutting Machine Spares, Magnetic Pipe Cutting Machine Spares",0
Manual Pipe Cutter Guide Band Bearing Roller,EZPCGBLR,4,240,1,"Manual Pipe Cutting Machine Spares, Automatic Pipe Cutting Machine Spares, Magnetic Pipe Cutting Machine Spares",0
Lab Master 6 Port Two Stage Diaphragm Cylinder Regulator - Inert - 10 bar,3960002084,4,1611.49,4,"Inert Gas Regulators, Gas Arc Cylinder Mounted Gas Regulators",0
Magswitch MagSquare 400 (8100238),8100238,4,358,1,Work Holding Devices - Fixed Angle,0
"Lab-Master Oxygen Inline Flashback Arrestor - 1/4 NPT M/F, 0-25 Bar",FBA07086,4,443,3,Flashback Arrestors,0
KEMPER AirWatch Air Monitoring System (390 200),390 200,4,5454,2,Kemper Airwatch,0
Aluminium Solder - 555 Al Solder Self-Fluxing - 3 mm - 1 Kg,RO553201,4,271.06,2,Oxy-Acetylene Welding Rods - Aluminium,0
Medium Duty Work Bench With Steel Top - 1500mm x 600mm x 840mm,AB1560S,4,1216.42,3,Medium Duty Welding Benches,0
Neutrix/Ultima Tungsten Grinder Electrode Clamp / Collet 1.0 mm - 44510171,44510171,4,54.93,3,Handheld Tungsten Grinders,0
Neutrix/Ultima Tungsten Grinder Electrode Clamp / Collet 3.2 mm - 44510165,44510165,4,53.88,1,Handheld Tungsten Grinders,0
Exact Pipe Bench 170 (Rollers Only),11605-10,4,196.12,1,Pipe Saw Spares &amp; Roller Supports,0
Fire Retardant Tarpaulin 2 m x 2.5 m,FRT2X2.5,4,244.88,2,Fire Retardant Tarpaulin,0
Rotabroach RAP140 Raptor 14 mm M2 Standard Cutter,RAP140,4,51.2,2,Broaching Cutters,0
Rotabroach RAP220 Raptor 22 mm M2 Standard Cutter,RAP220,4,68.2,1,Broaching Cutters,0
PJ4 Multi-Stand with Wheel/Ball Carrier,PJ4B-RPS4,4,865.6,1,Multi-Stand Pipe Stands,0
Quick Change Ball Transfer Head,DBDR-404,4,324.44,1,Double Roll Pipe Stands,0
Gas Cylinder Lifter (CLFTR),CLFTR,4,3770.43,4,Gas Cylinder Trolleys,0
"Pipe Welding Clamp For Stainless Steel (1-3"")",DWT-SS13,4,406.24,3,Pipe Welding Clamps,0
